Company Name,Company Link,Location,Booth Number,Description
Exosens S.A.S.,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104718,"Merignac, France",8221,"EXOSENS is a high-tech company, with more than 85 years of experience in the innovation, development, manufacture and sale of technologies in the field of particles and photo detection and imaging. Today, it offers its customers detectors and detection solutions: its travelling wave tubes, advanced cameras, neutron & gamma detectors, instrument detectors and light intensifier tubes allow EXOSENS to respond to complex issues in environments extremely demanding by offering tailor-made solutions."
"Exotech, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103918,"Pompano Beach, FL, United States",6316,"Exotech is a leading global recycler and manufacturer of exotic metals. For more than 30 years, we've changed the way exotic scrap metal is purchased and processed. The success of our company lies in our skilled team of experts, and more than 150 years of combined experience. At Exotech, we know how to solve tough challenges. We've built a reputation worldwide for our innovative solutions."
EYEO,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105701,"Eindhoven, Netherlands",5211,
"Fairchild Imaging, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104154,"San Jose, CA, United States",1363,
FAULHABER Drive Systems,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104081,"Clearwater, FL, United States",5406,"We create motion – Drive systems from FAULHABER are masterpieces of precision engineering and electromechanics at the limits of the technically feasible. The drive specialist offers the most extensive range of miniature and micro drive systems available from a single source worldwide. FAULHABER is a leading supplier in the area of high precision miniature and micro drive systems, from high performance DC Motors, BLDC Motors, to Linear Motors, Stepper Motors and more!"
Feinwerkoptik Zünd AG,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104070,"Werdenberg, Switzerland",8462,
Femtika UAB,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103936,"Vilnius, Lithuania",3230,"Femtika delivers standard and custom ultrafast laser machines, along with microfabrication services for transparent materials. Our solutions support scientific and industrial applications in photonics, semiconductors, optical communication, and beyond. We enable high-precision 3D structuring for fiber alignment, waveguides, micro-optics, TGV holes, and other micro-scale components — from R&D to scalable production."
Femtika UAB,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=103937,"Vilnius, Lithuania",8230,"Femtika develops laser machines and provides microfabrication services for biomedical and life science applications in both research and industry. Our technology enables the fabrication of micro-small, precise, and complex 3D structures in glass and polymers - ideal for lab-on-chip devices, microfluidics, cell scaffolds and more. From prototyping to production, we are providing easy access to micro-scale innovations, delivering the precision and flexibility required by life science applications."
Femto Easy,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104516,"Pessac, France",3457,
Femto Easy,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104517,"Pessac, France",8457,
FEMTOprint SA,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104527,"Agno, Switzerland",3453,
FEMTOprint SA,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104528,"Agno, Switzerland",8453,
Femtum,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105766,"Quebec, QC, Canada",5317,
Ferdinand-Braun-Institut gGmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105611,"Berlin, Germany",4205,"The FBH is an application-oriented research institute in the fields of high-frequency electronics, photonics & quantum physics. It researches electronic & optical components, modules & systems based on III-V semiconductors. Developments include high-power diode lasers with excellent beam quality, hybrid laser modules as well as UV LEDs & systems. Applications range from medical technology, high-precision metrology & sensors to optical communications in space & integrated quantum technology."
Ferrotec (USA) Corp.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104230,"Livermore, CA, United States",327,
"FIAlab Instruments, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105765,"Seattle, WA, United States",4600,
"Fiber Optic Ctr., Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103808,"New Bedford, MA, United States",5105,"Fiber Optic Center - an international leader in distributing fiber optic components, equipment, and supplies - has helped customers make the best cable assemblies for 20+years. We also offer products focused on installation, including splicing, cleaving, field test & inspection, hand tools, strippers, cleaning, and more. Low or no minimum purchase order values, and from-stock delivery on industry-leading products and technology, make FOC the preferred choice among fiber professionals."
FiberBridge Photonics GmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104091,"Hannover, Germany",4943,"FBP provides optical fiber components for material processing, quantum technology and aerospace industries. Key products are high-power capable fiber arrays for coherent and incoherent beam combining. We also offer kW-class pump combiner, cladding power stripper and fiber end caps. We offer tailored solutions for fiber optic components and assemblies, from design to volume production – including harsh environment applications, e.g. in the aerospace industry. Made in Germany / ISO 9001-Certified"
Fibercore Ltd.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104485,"Southampton, United Kingdom",5223,"Founded 1982, Fibercore is a leading innovator, designer and manufacturer of specialty optical fiber for harsh environments, serving customers across the world. Products include specialty fiber for the Aerospace, Defence, Telecommunications, Oil and Gas, Energy, Medical and Fiber Laser industries – the business is a global market leader. The company’s operations are headquartered in Fibercore House, a custom built Southampton based facility, in the UK."
"Fiberoptic Systems, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103710,"Simi Valley, CA, United States",654,"Fiberoptic Systems, Inc. offers fiber optic assemblies to our OEM customers. In business for 43 years, we make our own borosilicate fiber here on the West Coast. We serve multiple markets including, medical, spectroscopy, machine vision, industrial, IR & UV. Visit our website to view examples of our capabilities and check out our online design guide to help you understand the various fibers available, the number of fibers, and the external transmission expected from your design."
"Fiberoptics Technology, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103671,"Pomfret, CT, United States",4718,
"FIBERPRO, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104465,"Yuseong-gu, Daejeon, Korea, Republic of",1937,
Fibertech Optica Inc.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104635,"Kitchener, ON, Canada",3512,"Member of the Fiber Optic Group, FiberTech Optica is a leader in the design and manufacture of integrated specialty fiber optic solutions, FTO offers precision micro optical assemblies, bundles, v-groove arrays, Raman & reflectance probes, high power laser cables and vacuum fiber feedthroughs for use from Deep UV to MIR wavelengths. Working with singlemode, multimode and PM fibers plus borosilicate glass material."
Fibertech Optica Inc.,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104631,"Kitchener, ON, Canada",8512,"Member of the Fiber Optic Group, FiberTech Optica is a leader in the design and manufacture of integrated specialty fiber optic solutions, FTO offers precision micro optical assemblies, bundles, v-groove arrays, Raman & reflectance probes, high power laser cables and vacuum fiber feedthroughs for use from Deep UV to MIR wavelengths. Working with singlemode, multimode and PM fibers plus borosilicate glass material."
Fiberware GmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105613,"Mittweida, Germany",4205,"The company fiberware GmbH, based in Mittweida, Saxony, has established itself as a world-leading manufacturer of specialty optical fibers, specialty cables, fiber-optic sensors, fiberbundles and capillaries for standard and special applications. With over 35 years of experience in the optical industry, fiberware attaches great importance to the highest quality and close collaboration with customers to develop product innovations."
Finetech USA,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104048,"Amherst, NH, United States",4928,"Finetech’s high‐accuracy die bonding equipment supports the most precise & complex applications in advanced packaging, die attach and micro assembly. Sub-micron placement is possible with an extensive range of bonding technologies including thermo-compression, ultrasonic, eutectic, epoxy, sintering, ACF/ACP, Indium. Finetech follows the “Prototype-to-Production” approach to support customers at the development stage and help them transition their processes into production."
Finger Lakes Instrumentation,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105203,"Rochester, NY, United States",4548,
Finland Pavilion,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104468,"Joensuu, Finland",4229,"Photonics Finland is a technology cluster that promotes the photonics industry and research in Finland by connecting Finnish photonics companies, universities, research institutions, experts, students, and authorities. Our pavilion companies offer the finest photonics technology and R&I services from Finland. Welcome to meet our companies Ampliconyx, Comptek Solutions, Emberion, ElFys, Picophotonics, Reflekron, Vexlum and PREIN."
"Fi-ra Photonics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105759,"Gwangju, Korea, Republic of",5628,
FISBA AG,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104055,"St. Gallen, Switzerland",1455,
FiveNine Optics,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103779,"Boulder, CO, United States",2054,
"FJW Optical Systems, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5023&ExhibitorID=105848,"Palatine, IL, United States",6727,
"Flexcompute, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103674,"Watertown, MA, United States",4338,
FlexEnable Technology Ltd.,https://spie.org/ExhibitorDetail?ExpoID=5024&ExhibitorID=105522,"Cambridge, United Kingdom",6533,"FlexEnable is a leader in flexible liquid crystal optics, developing ultra-thin, biaxially formable tunable lenses and fast-switching dimmers for AR glasses. Its technology can actively adjust focus and provide global or pixelated variable dimming, ensuring high-contrast virtual content in all lighting conditions while enabling lighter, more comfortable devices."
FLIM Labs S.r.l.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104167,"Roma, Lazio, Italy",4103,
Florida Photonics Cluster,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104634,"Orlando, FL, United States",2034,
Fluence Technology sp. z o.o,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105527,"Warszawa, Poland",3686,
"FOCtek Photonics, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104477,"Fuzhou, FJ, China",4832,福泰克成立于2002年，总部位于福州，在中国福建福州和三明均设有工厂。FOCtek致力于精密光学元件和精密光学镜头组装的开发和生产。FOCtek是生命科学、工业4.0、工业激光、智能交通系统、汽车和先进半导体设备光子元件的领先供应商。
"Focuslight Technologies, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104476,"Xi'an, SN, China",449,"Founded in 2007 and headquartered in Xi’an, China, Focuslight Technologies Inc. is a fast-growing public company (Shanghai: 688167) that specializes in developing and manufacturing laser sources and materials, micro-optics, as well as photonics module and system solutions focusing on optical communication, consumer electronics, pan-semiconductor, automotive, and medical and health applications."
"Forward Photonics, LLC",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104937,"Woburn, MA, United States",4637,
"Fotofab, LLC",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104624,"Chicago, IL, United States",2043,
France Pavilion,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104680,"Paris, France",5029,"Business France is the national agency supporting the international development of the French economy, responsible for fostering export growth by French businesses, as well as promoting and facilitating international investment in France. It promotes France’s companies, business image and nationwide attractiveness as an investment location, and also runs the V.I.E international internship program."
Frankfurt Laser Co.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104741,"Friedrichsdorf, Germany",2227,"Frankfurt Laser Company is a private company engaged in development, production & distribution of: FP, DFB & DBR laser diodes, SM individually addressable & broad area laser diode arrays, superluminescent diodes in the wavelength range from 405nm to 2900nm, VCSELs & Quantum Cascade Lasers. FLC also supplies laser diode modules, free space & fiber-coupled, CW and Q-switched DPSS lasers and OEM modules. Its products cover 213nm to 20µm wavelength and 1mW to 5.6KW power range."
Fraunhofer,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105785,"Glasgow, United Kingdom",5023,
Fraunhofer Heinrich-Hertz-Institut (HHI),https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105614,"Berlin, Germany",4205,
Fraunhofer Institute for Ceramic Technologies and Systeme IKTS,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105615,"Hermsdorf, Germany",4205,"The Fraunhofer Institute for Ceramic Technologies and Systems IKTS conducts applied research on high-performance ceramics. The research and development of high-purity transparent ceramics for optical systems, medical technology and ballistic protection is being steadily expanded. A technical infrastructure is available on the basis of PERLUCOR®, which covers the complete value chain for transparent parts and components."
Fraunhofer-Institut für Lasertechnik ILT,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105616,"Aachen, Germany",4205,"With more than 530 employees and more than 40 spin-offs, the Fraunhofer Institute for Laser Technology ILT in Aachen is one of the leading contract research and development institutes in its field. For 40 years, the Fraunhofer ILT experts have been developing and optimizing laser beam sources and laser processes for production and metrology, energy and mobility, medical and environmental technology, as well as quantum technology."
Fraunhofer-Institut für Photonische Mikrosysteme IPMS,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104387,"Dresden, Germany",4521,"The Fraunhofer Institute for Photonic Microsystems IPMS in Dresden is your access to know-how, expertise and modern R&D infrastructure in the field of optical sensors and actuators, ASICs, microsystems (MEMS/MOEMS) and nanoelectronics. Fraunhofer IPMS is one of currently 76 institutes and research institutions of the Fraunhofer-Gesellschaft, the leading organization for applied research in Europe."
Fraunhofer-Institut für Photonische Mikrosysteme IPMS,https://spie.org/ExhibitorDetail?ExpoID=5024&ExhibitorID=104583,"Dresden, Germany",6429,"Fraunhofer IPMS is a leading international research and development service provider for electronic and photonic microsystems. The institute is the world's only independent research and development center for microdisplays (OLED, LED, LCOS, etc.). Its services range from conception and product development to pilot production in its own laboratories and clean rooms, as well as collaborations for backplane production with commercial 8- and 12-inch silicon foundries."
Fraunhofer-Institut für Physikalische Messtechnik IPM,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105635,"Freiburg im Breisgau, Germany",4205,
Fraunhofer-Institut für Siliziumtechnologie ISIT,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104626,"Itzehoe, Germany",4208,
Fresnel Factory Inc.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103661,"Suwon-si, Gyeonggi-do, Korea, Republic of",5400,
"Fujian Enlumen Tech Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104166,"Fuzhou, FJ, China",5248,
"Fujian Fran Optics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104336,"Fuzhou, FJ, China",2232,"FUJIAN FRAN OPTICS CO.,LTD. researches, develops and manufactures high-precision aspheric and freeform surface optical components, including HUD mirrors, liDAR Windows, automotive optical components, AR&VR optical components, medical endoscope optical modules and other products. These products are widely used in the automotive, robotics, consumer electronics, medical, security and other fields, and have been recognized and supported by well-known domestic and foreign customers."
"Fujian Zhongce Optics, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105581,"JINJIANG, FJ, China",1940,"ZhongCe Optics (ZOI), founded 2007 in Jinjiang, Fujian, holds ISO9001-2008 & ISO14000-2015 certifications. It does telecom opto-electronic OEM/ODM, with cold fabrication, crystal growing, assembly, coating.​Key Products: PBS, C/G-Lens, wave-plates, isolators, circulators (meets int'l quality standards).​ZOI has advanced engineers (precision cutting/polishing/coating, wide spectrum). It seeks contract manufacturing partners, focusing on quality/cost to be a trustworthy telecom optics supplier."
"FUJIFILM VisualSonics, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=105394,"Toronto, ON, Canada",8304,"FUJIFILM VisualSonics, Inc is the undisputed world leader in real-time, in vivo, high-resolution imaging systems, providing a multi-modal solution for both clinical and preclinical research. These cutting edge technologies allow researchers at the world’s most prestigious pharmaceutical and biotechnology companies, hospitals and universities to conduct research in cardiovascular, cancer, neurobiology, developmental biology and biomedical engineering fields."
Fujitok Corporation,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105445,"Kita-ku, Tokyo, Japan",3390,
"Furukawa Electric Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105519,"Chiyoda-ku Tokyo, Japan",2443,"Centered on the 4 technologies of ""metals"", ""polymers"", ""photonics"" and ""high frequency"", we are contributing to society through the development of a wide range of products in the fields of communications solutions, energy infrastructure, automotive products & batteries, electronics component materials and functional products.In addition, we will continue to take on new challenges directed at combining our accumulated technology and creating new businesses."
"Fuzhou Alpha Optics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103879,"Fuzhou, FJ, China",5102,
"Fuzhou CrysPacK Opto-Electronic Technology Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104032,"Fuzhou, FJ, China",1369,"Cryspack has created innovative solutions for the safe handling and shipping of fragile devices, and we also provide custom service to our clients. Cryspack’s best-selling packaging includes but not limited to membrane box, vacuum box, gel box, optical storage box, wafer box, etc. All the products from Cryspack are in line with EU ROHS and REACH certification standards. They are widely used in semiconductor, optoelectronic, microwave, tele-communication, medical and automotive industry."
Fuzhou Solid Photon Inc.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104730,"Fuzhou, Fujian, China",1972,
"Fuzhou XK Photonics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103699,"Fuzhou, Fujian, China",5617,
"Fuzhou XK Photonics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=105121,"Fuzhou, Fujian, China",8228,
FYLA Laser S.L.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105103,"Paterna, Spain",4641,
GAMDAN Optics,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104018,"San Jose, CA, United States",3559,"GAMDAN Optics, Inc. in San Jose, CA manufactures the best performing Nonlinear Optical Crystals for critical applications in R&D, Defense, Medical and Aerospace industries. From super low absorption UV-grade LBO and BBO for high power visible and UV generation to highly gray-tracking resistant hydrothermal KTP. GAMDAN Optics, Inc. newest growth is KGW Crystals, now available! GAMDAN Optics, Inc. is an innovative solution provider and technology partner from design to mass production."
Gamma Scientific,https://spie.org/ExhibitorDetail?ExpoID=5024&ExhibitorID=104318,"San Diego, CA, United States",6601,
"Gavish, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104374,"Bedford, NH, United States",2133,
GBC Advanced Materials LLC,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104153,"Latrobe, PA, United States",5438,
G&H Group,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104659,"Ilminster, United Kingdom",8514,"For seven decades, G&H’s innovative approach to optical component design has been key in advancing the performance and reliability of life science instrumentation for medical microscopy, diagnostic imaging, and laser surgery. We are recognized as a leading provider for photonics in life sciences with our advanced glass and polymer optics, fiber optics, acousto-optics and Pockels cells, targeting medical research, diagnostic imaging, and laser surgery applications worldwide."
G&H Group,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104047,"Ilminster, United Kingdom",1535,"Gooch & Housego (G&H) is a world leader in optical design, testing and manufacturing. As experts in the technology of light, G&H works with customers to provide optical systems, assemblies, and components for demanding applications. Headquartered in Ilminster Somerset, UK with eleven facilities in the UK and USA, G&H is recognized for the breadth of their acousto-optic, electro-optic, crystal-optic, fiber optic, and precision optic products."
Gel-Pak,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104409,"Hayward, CA, United States",1562,
General Dynamics Mission Systems,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103955,"Fairfax, VA, United States",673,
General Ruby & Sapphire Co.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105857,"Odessa, FL, United States",2466,
Gentec Electro-Optics Inc.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104094,"Quebec, QC, Canada",957,"With a 50-year track record of innovation and providing quality solutions for laser power and energy measurement applications, Gentec-EO stands ready to serve you now and in the future. Our product line includes a complete range of laser power & energy meters, photodetectors, THz detectors, OEM detectors and beam diagnostics. We also have calibration centers on 3 continents for fast turn-around times, just what you need to keep pace with today's rapid market."
German Pavilion,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104579,"Stuttgart, Germany",4205,Germany participates with a “German Pavilion” offering a professional brokerage service to help to establish contacts with German companies and comprehensive information on Germany as an important business location.Sponsored by the Federal Minsitry for Economic Affairs and Energy (BMWE) in cooperation with AUMA (Association of the German Trade Fair Industry).
Gestione SILO S.r.l.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103752,"Scandicci, Italy",2132,"GESTIONE SILO SRL is a company specialized in manufacturing of precision optics, for Space-Defense, Biomedical, Research, Industry.We can support the customer in the development, design and engineering the opto-mechanical systems like eyepieces, alignment benches, optical relays, illuminators and more complex instruments such as telescopes, microscopes, spectrometers, earth vision systems."
GF Technology Sdn. Bhd.,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104061,"Bayan Lepas, Pulau Pinang, Malaysia",8643,
GF Technology Sdn. Bhd.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104062,"Bayan Lepas, Pulau Pinang, Malaysia",3643,
"Giai Photonics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105554,"Shenzhen, GD, China",1831,"GIAI Optics is a leading global photonics supplier with 17+ years of expertise in optical design, optimization, and manufacturing. We provide high-precision components, custom lens systems, and integrated solutions for biomedical, LiDAR, aerospace, and other high-end sectors, exported to 40+ countries. ISO 9001:2015 certified, using Zemax®—we deliver cost-effective products, free design consultations, and short lead times for small-batch and mass production. Your trusted custom optical partner."
Gigahertz-Optik Inc.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103749,"Amesbury, MA, United States",2130,
Glassomer GmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105636,"Freiburg im Breisgau, Germany",4205,
"Glenair, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103762,"Glendale, CA, United States",5318,"Worldwide recognized leader in High-Bandwidth Fiber Optic, High Speed and RF Connectors and Cables for Tactical Military / Defense, Sub Sea, Aerospace-Grade and other Harsh Environment Applications. Providing turn-key solutions as well as termini, tool kits, testing kits. Full Engineering support for any customer application. Five week lead time on most product. Come discuss your application with us!"
"Glines & Rhodes, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104529,"Attleboro, MA, United States",463,
GLOPHOTONICS,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105686,"Limoges, France",5029,
Glucoloop AG,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104639,"Schlieren, Switzerland",2223,
"Goertek Optical Technology Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5024&ExhibitorID=104609,"Weifang City, SD, China",6510,
GPD Optoelectronics Corp.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104082,"Salem, NH, United States",755,
Gpixel Microelectronics Inc.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104569,"Changchun, JL, China",127,"Gpixel is the premier global supplier of high-performance image sensors for scientific, industrial and professional applications including microscopy, astronomy, machine vision, automation, high speed imaging, and professional photo and video. Our broad portfolio of off-the-shelf products incorporates the latest image sensor technologies to address the needs of the most demanding applications. We also offer customized image sensors for specialized requirements."
"Green Optics Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104523,"Cheongju-si, Chungcheongbuk-do, Korea, Republic of",766,
"Greenlight Optics, LLC",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104040,"Milford, OH, United States",3278,"Greenlight Optics is a leading optical product development and ISO9001 optics manufacturing company specializing in projection and AR/VR, imaging and sensing systems, LED and laser illumination, and plastic optics. With in-house optical and mechanical design, diamond turning, glass lens manufacturing, CNC machining, plastic optics molding, metrology, and advanced assembly and testing capabilities, Greenlight Optics quickly turns ideas into prototypes and manufactured products."
"Griffin Motion, LLC",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105498,"Apex, NC, United States",2337,
Grintech GmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104237,"Jena, Germany",3662,
Grintech GmbH,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104236,"Jena, Germany",8662,
"Guernsey Coating Labs., Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104026,"Ventura, CA, United States",2128,"43 YEARS - Durable metal optical coatings on glass, metal, plastic and fiber optic substrates. Specializing in vacuum deposited thin-films from the UV to the NIR. . High reflectors, aluminum, silver, gold, BBAR, V-coat, beamsplitters, bandpass, ND & dichroic filters & ITO applications. Hydrophobic coatings, R&D, custom design, prototype through high volume production. Silver and gold coatings (hydrophobic & non hydrophobic) tested by SPICA passing salt fog requirement. 100% woman owned"
Guiding Photonics,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104204,"Torrance, CA, United States",4736,
"Guild Optical Associates, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103809,"Amherst, NH, United States",336,"Guild Optical Associates, Inc. specializes in the precision fabrication of custom sapphire optical components. We are ISO 9001:2015 certified and ITAR ready. Since 1990 our team of experienced professionals has delivered timely and cost effective solutions for the most demanding optical needs. Guild Optics manufactures sapphire windows at our shop in Amherst, NH using the best raw materials. We have built our reputation on our ability to accurately and efficiently process hard optical components"
"Guiyang Haotian New Materials Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104731,"Guiyang, GZ, China",2267,"Founded by veteran sapphire and optical thin film experts, Guiyang Haotian New Materials Co., Ltd.(HT New Materials) has become a top tier company providing HEM & KY sapphire material and fabrication. The company also emerged as reliable supplier for high precision optical thin film products with independently developed thin film deposition technology-ARS.HT New Materials’ core technical team and management team have decades experience in optics, optoelectronics and optical coating."
"Guizhou Haotian Optoelectronics Technology Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105419,"Guiyang, GZ, China",162,
"Gurley Precision Instruments, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105569,"Troy, NY, United States",2334,
GWU-Lasertechnik Vertriebsges.mbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105637,"Erftstadt, Germany",4205,
"Hagitec Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104595,"Yotsukaido-shi Chiba-ken, Chiba, Japan",461,
Hamamatsu Corp.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104508,"Bridgewater, NJ, United States",1127,"Hamamatsu Corporation is the North American subsidiary of Hamamatsu Photonics K.K. (Japan), a leading manufacturer of devices for the generation and measurement of infrared, visible, UV light and x-rays. These devices include silicon photomultipliers, photodiodes, photomultiplier tubes, image sensors, cameras, and light sources. Hamamatsu Photonics also offers specialized systems for select applications."
Hamamatsu Corp.,https://spie.org/ExhibitorDetail?ExpoID=5027&ExhibitorID=104509,"Bridgewater, NJ, United States",8411,"Hamamatsu Corporation is the North American subsidiary of Hamamatsu Photonics K.K. (Japan), a leading manufacturer of devices for the generation and measurement of infrared, visible, UV light and x-rays. These devices include silicon photomultipliers, photodiodes, photomultiplier tubes, image sensors, cameras, and light sources. Hamamatsu Photonics also offers specialized systems for select applications."
Hardin Optical Co.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=103821,"Bandon, OR, United States",3315,"Hardin Optical manufactures precision optical components for commercial and defense applications. We fabricate custom optical elements used in UV, Visible, and IR applications. Our manufacturing facility includes diamond turning, thin film coating, CNC grinding and polishing, and conventional grinding and polishing. We take pride in our record of on-time delivery of quality products. Hardin Optical Company was founded in 1976. www.hardinoptical.com"
Hart Scientific Consulting International LLC,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105057,"Tucson, AZ, United States",560,
