Booth Number(s),Company Name,Link to Company,Description,Website link,Company Contact Information
3321,Delta Optical Thin Film A/S,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101418"")","Since the 1970’s Delta Optical Thin Film has provided specialized, custom designs and the manufacturing of high performance custom optical filters for discerning OEM customers. We offer both Homogenous Bandpass, Edge and Blocking Filters, and Beamsplitters as well as Continuously Variable Filters. With our unique and advanced design software and our proprietary deposition control software, we meet or exceed our customers’ requirements, and ensure a fast and efficient design process.","=HYPERLINK(""http://www.deltaopticalthinfilm.com"")",Delta Optical Thin Film A/S  Fremtidsvej 1  Hørsholm  Denmark  2970
4011,"Deltronic Crystal Industries, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103601"")",No Description Found,"=HYPERLINK(""http://www.deltroniccrystal.com"")","Deltronic Crystal Industries Inc  60 Harding Ave  Dover, NJ  United States  07801-4710"
4735,DenseLight Semiconductors Pte. Ltd.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102797"")",No Description Found,"=HYPERLINK(""http://www.denselight.com"")",DenseLight Semiconductors Pte Ltd  6 Changi N Street 2  Singapore  Singapore  498831
720,Denton Vacuum Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101810"")","Denton Vacuum provides innovative deposition and etch equipment solutions built on standard platforms for any production level, from pilot production to high volume manufacturing. With a long history of innovation in thin film deposition and etch technologies, we provide production proven systems in diverse applications including laser and IR detectors, AR/VR and flexible display, delayering, precision optics, and superconductors to match customer needs.","=HYPERLINK(""http://www.dentonvacuum.com"")","Denton Vacuum Inc.  Bldg 3  1259 N Church St  Moorestown, NJ  United States  08057-1169"
4742,DeUVe Photonics,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101518"")","DeUVe Photonics specializes in semiconductor lasers that cover the spectral region from 230nm–400nm, 450nm–550nm, and 900nm–1,100nm. DeUVe is also a leader in the development of laser-based NV diamond magnetometers. Using its patented, wavelength and beam-on-demand technology, DeUVe is able to offer custom laser solutions that do not currently exist in the market.","=HYPERLINK(""http://www.deuvephotonics.com"")","DeUVe Photonics  2030 N Forbes Blvd Ste 102  Tucson, AZ  United States  85745-1440"
3387,Dexerials Corporation,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103086"")","Dexerials Corporation creates advanced materials and opto-semiconductor modules for sensing devices, consumer electronics, and automotive applications by utilizing its unique set of materials, process solutions, and customized technologies.","=HYPERLINK(""http://www.dexerials.jp/en/"")",Dexerials Corporation  1724 Shimotsuboyama  Shimotsuke-shi  Japan  323-0194
4547,DFM A/S,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102946"")",No Description Found,"=HYPERLINK(""http://dfm.dk"")",DFM A/S  Kogle Allé 5  Hørsholm  Denmark  2970
3470,"Diamond USA, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102117"")","Diamond is recognized worldwide for providing the highest quality and performance fiber optic connectors, assemblies and accessories. We employ state-of-the-art production methods and techniques that are unparalleled in the industry. Diamond PS technology is designed for high power applications up to 16 Watts optical power for single-mode (SM) fibers. In addition, our AVIM connectors continue to be the connector of choice for Space applications. Our Space heritage is unsurpassed.","=HYPERLINK(""http://www.diausa.com"")","Diamond USA, Inc.  Bldg 3  85 Rangeway Road  N Billerica, MA  United States  01862-2105"
3288,Diatope GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103110"")",No Description Found,"=HYPERLINK(""http://diatope.com"")",Diatope GmbH  Buchenweg 23  Ummendorf  Germany  88444
1365,"DiCon Fiberoptics, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101270"")",DiCon Fiberoptics is a California-based fiber optic switch solution manufacturer. Its low loss non-blocking optical matrix switches automate testing processes and increase throughputs. The company also offers “quantum-compatible” switches for securely routing sensitive information.,"=HYPERLINK(""http://www.diconfiberoptics.com"")","DiCon Fiberoptics, Inc.  1689 Regatta Blvd  Richmond, CA  United States  94804-7438"
2127,Dien Tech Ltd.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103036"")","CHENGDU DIEN PHOTOELECTRIC TECHNOLOGY CO., LTD was found in 2017,located in Chengdu, China.We dedicated to research, manufacturing and sales of nonlinear crystals, Laser crystals which mainly applied in the middle and far infrared fields.With continually the research and improvements, CHENGDU DIEN PHOTOELECTRIC TECHNOLOGY CO., LTD have became one of the leading manufacturers among middle and far infrared crystals’ filed.","=HYPERLINK(""http://www.dientech.com"")","Dien Tech Ltd.  LIANDONG U VALLEY, NO.666 OF EAST JINGGONG ROAD TIANFU NEW AREA,CHENGDU 610213,P.R.C  No 666 of East Jinggong Road  Chengdu, SC  China  610213"
769,Dino-Lite Digital Microscope,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101327"")","Dino-Lite portable digital microscopes and eyepiece cameras provide high-quality microscopy video with clear and steady imaging. Our included software can connect the digital microscope to PC, Mac, and even mobile. Makes it easy to take snapshots, record videos, manipulate images, and save and email discoveries. Most models provide 10x-220x along with a multitude of software features such as measurement, focus stacking, lighting options, and more.","=HYPERLINK(""http://www.dinolite.us"")","Dino-Lite Digital Microscope  19803 Hamilton Ave  Torrance, CA  United States  90502-1341"
5605,"Diode Laser Concepts, Inc","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103166"")",No Description Found,"=HYPERLINK(""http://www.diodelaserconcepts.com"")","Diode Laser Concepts Inc  2027 Commerce Dr  Medford, OR  United States  97504-9744"
5117,DIOPTIC Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101364"")","DIOPTIC, based in Rochester, NY and Weinheim, Germany, offers its customers in the photonics, medical and automotive sectors comprehensive consulting services and solutions in the field of optical metrology. Our CGHs for interferometric shape inspection of optical surfaces and our ARGOS systems for automated surface defect inspection are world leaders in their fields. We offer both a standard range of lenses for different spectral ranges and customer-specific lens design and manufacturing.","=HYPERLINK(""http://www.dioptic.de/en/home"")","DIOPTIC Inc.  260 E Main St Ste 6416  Rochester, NY  United States  14604-2100"
1663,Direct Machining Control,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101266"")","DMC is a control software for laser machines. It’s an all-in-one solution where the user creates or imports CAD objects, sets process parameters, and clicks Run. DMC then takes care of all the hardware control according to the recipe. Typical applications range from laser marking or engraving to 3D printing and 5-axis texturing of freeform surfaces.","=HYPERLINK(""http://directmachining.com"")",Direct Machining Control  Mokslininku g 6-B  Vilnius  Lithuania  08412
857,Diverse Optics Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101259"")","We know that your optics are as unique as you are. You can reduce cost, trim weight, simplify design, and improve the performance of your optics using polymers. For 30 years, we've manufactured the most challenging polymer optic components and assemblies for leading defense, medical, and commercial applications with advanced technology and an experienced team of professionals. With our knowledge of injection molding and diamond turning, we’ll show you how polymer optics are perfected.","=HYPERLINK(""http://www.diverseoptics.com"")","Diverse Optics Inc.  10339 Dorset St  Rancho Cucamonga, CA  United States  91730-3067"
4205,Docter Optics SE,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103211"")",No Description Found,"=HYPERLINK(""http://www.docteroptics.com"")",Docter Optics GmbH  Mittelweg 29  Neustadt an der Orla  Germany  07806
461,"DoGain Optoelectronic Technology (Hong Kong) Co., Ltd.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101786"")",No Description Found,"=HYPERLINK(""http://www.dogain.com"")","DoGain Optoelectronic Technology (Hong Kong) Co., Ltd.  Rm 7B, One Capital Place  18 Luard Road, Wan Chai  Hong Kong  Hong Kong, China"
1802,"Dominar, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102239"")",No Description Found,"=HYPERLINK(""http://www.dominar-inc.com"")","Dominar Inc  734 Aldo Ave  Santa Clara, CA  United States  95054-2210"
4205,dopa diamond tools,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103181"")","dopa diamond tools is focused on the development & production of diamond tooling, state of the art single- and double-sided machines and side equipment. Our smart polishing slurry systems make your processes stable, repeatable and supply data for fine tuning and R&D. We offer solutions for producing plano, spherical and aspherical substrates from soft to ultra-hard materials.We are your partner for turn-key-solutions (machine + tools + process) but also process development and contract work.","=HYPERLINK(""http://www.dopa-diatools.com"")",dopa diamond tools  Zu den Krugwiesen 1  Berlin  Germany  13057
4115,dopa optics,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101313"")","dopa optics is focused on the production of high precision plano substrates up to 1000mm. We offer a wide range of components, incl. laser grade optics made from fused silica but also MgF2, CaF2. We specialized in creating hight-tec products in Zerodur, SiSiC or sapphire. dopa has a profound know-how of finishing diamond surfaces for applications where wear resistance and precision matters. We are your partner for high end optics with single digit nanometer accuracy and Angstrom-level roughnes","=HYPERLINK(""http://www.dopa-diatools.com"")",dopa optics  Zu den Krugwiesen 1  Berlin  Germany  13057
144,Dover Motion,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101478"")","With over 60 years of industry experience, Dover Motion is a leading provider of motion systems, embedded controls and custom solutions for automated microscopy instruments. The SmartStage XY & Z series of positioning products offers everything an OEM needs to design, build, and test new motion systems from prototypes to production. As a Fortive company (NYSE:FTV), Dover Motion has the stability and resources of a multi-billion dollar organization.","=HYPERLINK(""http://www.dovermotion.com"")","Dover Motion  159 Swanson Rd  Boxborough, MA  United States  01719-1316"
3591,"DOWA Electronics Materials Co., Ltd.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103063"")",No Description Found,"=HYPERLINK(""http://www.dowa-electronics.co.jp/en/"")","DOWA Electronics Materials Co Ltd  22F, Akihabara UDX  4-14-1 Sotokanda  Chiyoda-ku, Tokyo  Japan  101-0021"
773,DPSS Lasers Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101497"")","DPSS Lasers Inc. specializes in manufacturing Ultraviolet (266, 343 and 355nm) Laser Markers and Low Cost UV Lasers with high peak powers and repetition rates that are ideal for permanent marking and engraving materials such as ceramic, plastics and metals. Applications using our Samurai UV “Cold Laser” Marker are Product Coding, Micromachining, Marking, Oxide Removal, Semiconductor and Medical Packaging. Standard & Customized Systems Available - nsec, psec and fsec UV.","=HYPERLINK(""http://www.DPSS-lasers.com"")","DPSS Lasers Inc.  2525 Walsh Ave  Santa Clara, CA  United States  95051-1316"
2457,Duma Optronics Ltd.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102908"")",No Description Found,"=HYPERLINK(""http://www.dumaoptronics.com"")",Duma Optronics Ltd  Oren Ctr  1st Hazait St  Nesher  Israel  367 5018
2645,DxOMark Image Labs,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103440"")",No Description Found,"=HYPERLINK(""http://corp.dxomark.com"")",DxOMark Image Labs  24-26 quai Alphonse le Gallo  Boulogne Billancourt CEDEX  France  92100
2152,DXS OPTICS LTD.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101976"")","DXS OPTICS LTD. was founded in 2008 with 130 employees. Its’ headquarters is located in Shenzhen city and the production base is in Jiujiang city,China. It mainly produces Laser Protective Window, Precision Optical Lenses, Aspheric Lenses,Optical Filters, Mirrors, Beam Splitters, Telecentric Lenses, Industrial Lenses,etc. is specialized in High Power Laser Lenses, Complex Filters and F-theta Scan Lenses. It has professional production and inspection equipment to ensure top quality.","=HYPERLINK(""http://www.dxs-gx.com/en"")","DXS OPTICS LTD.  First Floor, Building B, Zhongnangang Industrial Zone, Longhua District, 518110,Shenzhen, China  Shenzhen, GD  China  518110"
3643,Dynamic Optics S.r.l.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101355"")","Dynamic Optics srl supplies innovative solutions for deformable optical components and wavefront sensing. Dynamic Optics provides unique innovative transmissive wavefront modulators, ultra-high reflectivity deformable mirrors and solutions for wavefront sensing metrology.","=HYPERLINK(""http://dynamic-optics.it"")",Dynamic Optics S.r.l.  Via Giovanni Savelli 72  Veneto  Italy  35129
3638,DynaVac,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101541"")","Dynavac has nearly 40 years in thin film deposition systems with US manufacturing & extensive field service. Our Application Lab works with customers to develop coating processes & optimize equipment configurations. We offer batch & inline systems with evaporation, sputtering, & plasma deposition over a range of applications: from precision optical to functional and decorative to the largest astronomical mirrors. Our PVD & PE-CVD solutions give you the highest-quality coatings at reduced costs.","=HYPERLINK(""http://www.dynavac.com"")","DynaVac  110 Industrial Park Rd  Hingham, MA  United States  02043-4369"
566,"Dyoptr, LLC","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101750"")",No Description Found,"=HYPERLINK(""http://www.dyoptr.com"")","Dyoptr LLC  631 Strander Blvd Ste G  Tukwila, WA  United States  98188-2963"
2037,E.R. Precision Optical Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102311"")","Germanium and Silicon crystals grown here in the USA for optical applications. Lenses, windows, blanks etc... We also provide assemblies, coated & uncoated components with great lead times. We specialize in quick turn around on small to medium volumes and the best quality.","=HYPERLINK(""http://www.eroptics.com"")","E.R. Precision Optical Corp.  1676 E Semoran Blvd  Apopka, FL  United States  32703-5673"
161,"East Photonics, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103439"")",No Description Found,"=HYPERLINK(""http://www.eastphotonics.com"")","East Photonics Inc  55, Gukjegwahak 9-ro  Yu Seong Gu, Daejeon  Korea, Republic of  34002"
2161,Ecoclean Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101962"")","Ecoclean Inc, a part of the SBS Ecoclean Group of global companies, supplies machines for industrial parts cleaning and surface treatment applications. Our innovative solutions help companies across the globe achieve highest cleanliness requirements. Our wide-ranging product portfolio serves many diverse types of industries and includes optimally adapted solutions for high-purity applications and precision optics.","=HYPERLINK(""http://ecoclean-group.us"")","Ecoclean Inc  26801 Northwestern Hwy  Southfield, MI  United States  48033-6251"
3208,"ECOGLASS, a.s. (Inc.)","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101525"")","ECOGLASS is a family-owned company established in 1991. We develop and manufacture glass molded optics in Czech Republic. Our products can be found in lighting applications such as railway, automotive, runway,street or LED lighting. Our components are used as decorative parts for car interior or in various sensor applications. Starting from optical design through prototyping to serial production ECOGLASS provides its customers with dedicated expertise and support during all steps of development.","=HYPERLINK(""http://ecoglass-optic.com"")","ECOGLASS, a.s. (Inc.)  Arbesova 66A  Jablonec nad Nisou  Czech Republic  466 04"
1972,ECOPTIK (Changchun) Ltd,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101979"")","Ecoptik (also known as BRD Optical) has been researching optical components processing technology for over 15 years. We mainly deal with optical lenses, prisms, windows, reticles ,filters, cylinder lens, mirrors etc optical elements and coating service . produce with Corning 7980, Sapphire ZnSe,Ge,CaF2 and other material.we test use Zygo Laser interferometer , JVPF etc and provide complete test report .","=HYPERLINK(""http://www.ecoptik.net"")","ECOPTIK (Changchun) Ltd  Building 13,No.832 Chengyuan Road, High-tech Zone, Changchun 130103, China.  Changchun, JL  China  130103"
1139,Edmund Optics Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102273"")","Edmund Optics has been a leading producer of optics, imaging, and laser optics for 80 years. Discover the latest optical and imaging technology.","=HYPERLINK(""http://www.edmundoptics.com"")","Edmund Optics Inc.  101 E Gloucester Pike  Barrington, NJ  United States  08007-1380"
1369,Eidetic Optical Systems,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101234"")","Eidetic Optical's goal is to provide customers a technical advantage by optimizing unique optical design knowledge & solutions to unravel the engineering challenges of new product development. Completed projects consistently reflect innovative approaches to difficult problems and a level of creativity well above the average. Finally, a thorough knowledge of the full range of design, tolerancing and environmental analysis tools provides complete solutions for design, assemble & test.","=HYPERLINK(""http://www.eideticoptical.com"")","Eidetic Optical Systems  Booth 437  24927 Avenue Tibbitts Ste H  Valencia, CA  United States  91355-1280"
3411,EITZENBERGER Luftlagertechnik GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102088"")",No Description Found,"=HYPERLINK(""http://eitzenberger.com"")",EITZENBERGER Luftlagertechnik GmbH  Feichtmayrstr. 17  Wessobrunn  Germany  82405
657,EKSMA Optics UAB,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102901"")","EKSMA Optics is a manufacturer of laser optical and electro-optical components: laser optics, lenses, nonlinear and laser crystals, Pockels cells and HV drivers, ultrafast pulse picking systems, timing digital delay generators. EKSMA Optics’ manufacturing capabilities include optics polishing, the production of spherical, aspherical, and free-form lenses with CNC machines, dielectric coatings deposition for laser optics, and assembling of optical systems in cleanrooms.","=HYPERLINK(""http://eksmaoptics.com"")",EKSMA Optics UAB  Dvarcioniu st 2B  Vilnius  Lithuania  LT-10233
649,EKSPLA,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102774"")","Innovative manufacturer of lasers & electronics from ultrafast industrial to unique custom system for basic research. In-house R&D team and more than 30 years’ experience enable to tailor products for specific applications and/or according to specific requirements. Main products are: femtosecond, picosecond and nanosecond lasers, tunable wavelength systems, ultrafast fiber lasers, spectroscopy systems and laser electronics.","=HYPERLINK(""http://ekspla.com"")",EKSPLA  Savanoriu Ave 237  Vilnius  Lithuania  LT-02300
4638,El.En. S.p.A.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102729"")","El.En. leads an international group of Hi-Tech companies aiming to excellence in research, engineering and production of laser systems and advanced solutions for medicine, industry and conservation of Cultural Heritage. The Industrial division designs and manufactures laser sources and systems for cutting, welding, marking, cleaning and engraving on countless materials. Customers’ success, social responsibility and respect for the environment have always inspired the company.","=HYPERLINK(""http://www.elenlaser.com"")",El.En. S.p.A.  Industrial Division  Via Baldanzese 17  Calenzano  Italy  50041
"5146, 5147",ELAS Technologies Investment GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102303"")","ELAS Technology Investment GmbH (ELAS) is a German-based but globally oriented financial investor, with Headquarters in Hamburg in the north of Germany. ELAS has been created to provide financial agility and infrastructure support for promising entities and organizations in the globally favorable photonic and high-tech industries. ELAS actively seeks investment opportunities with start-ups and young companies, regardless of location and for which identifiable market potential already exists.","=HYPERLINK(""http://www.elas-investment.com"")",ELAS Technologies Investment GmbH  Caffamacherreihe 5  Hamburg  Germany  20355
4828,"Electro Optical Components, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101359"")","Electro Optical Components (EOC) provides Advanced Systems and Components: Detectors, Sources, Amplifiers from the UV to the far IR. Signal Recovery Amplifiers & Photoreceivers; Thermopiles, Pyroelectric & PbS/PbSe Detectors; MID IR LEDs & Photodiodes; UV Detectors; IR & Visible Laser Diode Modules; Broadband IR Sources; NDIR Gas Detection Systems/Components; TDLS Laser Modules; Electrochemical & PID Sensors; Optics & Coatings; IR Filters; Spectroscopy Systems; SLMs; Precision TEC Cooling","=HYPERLINK(""http://www.eoc-inc.com"")","Electro Optical Components, Inc.  5464 Skylane Blvd Ste D  Santa Rosa, CA  United States  95403-1004"
3428,Electro Optics Magazine,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103254"")",No Description Found,"=HYPERLINK(""http://www.electrooptics.com"")",Electro Optics Magazine  4 Signet Ct  Cambridge  United Kingdom  CB5 8LA
2651,Electro-Optical Products Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102793"")","Since our establishment in 1992, Electro-Optical Products Corporation (EOPC) has been dedicated to pushing the boundaries of optical technology. Our mission is to provide innovative, high-quality components that empower our customers to realize their creative visions. With over 30 years of experience, we stand at the forefront of optical engineering, delivering solutions that drive progress in industries across the globe.","=HYPERLINK(""http://www.eopc.com"")","Electro-Optical Products Corp.  939 S Andreasen Dr  Escondido, CA  United States  92029-1934"
5110,Element Six Technologies U.S. Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101453"")","Element Six (E6), is a world leader in the development and production of synthetic diamond solutions. Since 1946, our focus has been on engineering the diamond synthesis process to unlock innovative applications, including thermal management, optics and sensing. Our patented technology places us at the forefront of synthetic diamond innovation, enabling us to deliver competitive advantage to our customers through diamond-enabled solutions. See our websites: e6.com and e6cvd.com","=HYPERLINK(""http://www.e6.com"")","Element Six Technologies U.S. Corp.  3901 Burton Dr  Santa Clara, CA  United States  95054-1583"
4119,"ElFys, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102960"")","ElFys provides advanced photodetector products and services based on innovative black-silicon induced-junction technology.ElFys’ technology enables light sensors with better sensitivity than anything seen before, literally catching every ray of light. It greatly improves any light sensing application ranging from CMOS image sensors and wearable health monitoring to analytical instrumentation and security X-ray imaging.","=HYPERLINK(""http://www.elfys.fi"")","ElFys, Inc.  Tekniikantie 12  Espoo  Finland  02150"
2130,Elite Engineering Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102811"")",No Description Found,"=HYPERLINK(""http://www.eliteeng.com"")","Elite Engineering Corp  1270 Avenida Acaso Ste A  Camarillo, CA  United States  93012-8747"
4106,"Elite Optoelectronics Co., Ltd.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102652"")",No Description Found,"=HYPERLINK(""http://www.s-laser.com"")","Elite Optoelectronics Co Ltd  #3-10502 East Area Modern Business Ctr  Zhangba 5th Rd  Xi'an, SN  China  710077"
4111,"EM4, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103497"")","EM4, a Luminar Semiconductor Inc company, provides opto-electronic components including DFB & DBR Lasers and Modules, Pump Lasers, Photodetectors, Collimators, and Planar Lightwave Circuits. We serve diverse markets with a range of products with robust packaging for demanding environmental conditions with high reliability. Our experience makes us a good partner for photonics programs including collaboration with our sister companies Black Forest Engineering, Freedom Photonics & Optogration.","=HYPERLINK(""http://www.em4photonics.com"")","EM4, Inc.  7 Oak Park Dr  Bedford, MA  United States  01730-1413"
4119,Emberion Oy,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102936"")","Emberion designs and manufactures high-performance sensors by integrating quantum dots & nanomaterials and in-house designed CMOS ROIC. Our newly launched product Emberion VS20 with wide spectrum from Vis-SWIR (400-2000)nm and high dynamic range cameras/camera cores target various applications such as defense , surveillance and enabling hyperspectral imaging.Machine Vision is a key area of focus. We are also developing novel MWIR and ultrawide band (Vis-SWIR-Thermal) range sensors and cameras.","=HYPERLINK(""http://www.emberion.com"")",Emberion Oy  Metsänneidonkuja 8  Espoo  Finland  02130
2132,"Emergent Vision Technologies, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102753"")","Emergent Vision Technologies is the pioneer of high-speed Ethernet cameras, redefining imaging with innovative solutions. At Photonics West 2025, we’re excited to introduce our brand-new HE Series Cameras, the smallest form factor 10G Ethernet cameras on the market today. These cameras combine blazing-fast frame rates, exceptional image quality, and a compact design to deliver unparalleled performance for industrial, scientific, and broadcast applications. Visit us at Booth 2132.","=HYPERLINK(""http://emergentvisiontec.com"")","Emergent Vision Technologies, Inc.  2160-955 Seaborne Ave  Port Coquitlam, BC  Canada  V3B 0R9"
5000,"Empire West, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101626"")","Empire West designs and manufactures thermoformed PET-G optics packaging containers for the full range of today's optical lenses, filters, and mirrors. Our Safe-Guard line of unique, slip-fit, low outgassing optics containers are the industry standard for value and performance. Designed to contact optics on only the bevels, these versatile containers eliminate the need for lens paper and foam liners, and greatly reduce the opportunity for handling-generated surface degradation.","=HYPERLINK(""http://www.empirewest.com"")","Empire West, Inc.  9270 Graton Rd  Graton, CA  United States  95444-9375"
4631,"Enablence Technologies, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102988"")",No Description Found,"=HYPERLINK(""http://www.enablence.com"")","Enablence Technologies Inc  390 March Rd Ste 119  Kanata, ON  Canada  K2K 0G7"
1127,"Energetiq Technology, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103343"")","Energetiq designs, develops, and manufactures ultra-bright broadband light sources for complex scientific and engineering applications, including semiconductor manufacturing and life sciences analytical instruments. Our light sources generate high brightness across the spectrum, from soft x-ray to infrared and beyond. Energetiq focuses on rapid development and on-time delivery of reliable, long-lasting products for volume production applications. Energetiq is a subsidiary of Hamamatsu Photonics.","=HYPERLINK(""http://www.energetiq.com"")","Energetiq Technology, Inc.  205 Lowell St Ste 1A  Wilmington, MA  United States  01887-2972"
4205,engionic Fiber Optics GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103183"")","The engionic group companies are highly specialised solution providers in the fiber optics market and look back on more than three decades of experience in this industry. Unique in the market is the integrated internal value chain for Fiber Bragg sensors – from the production of Fiber Bragg Gratings and CNC parts up to the entire sensor assembly, calibration and housing.","=HYPERLINK(""http://www.engionic-fiber-optics.de"")",engionic Fiber Optics GmbH  Ernst-Lau-Str. 8  Berlin  Germany  12489
149,Engis Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102118"")","As a US-based manufacturer with a global reach, Engis R&D Labs specialize in the development of new products for the processing of optical and photonic substrates. Our Process Development Labs work hand-in-hand with customers to reduce cycle times, improve part quality and finishes, while at the same time, reducing waste and rejects. We offer full systems solutions to any application challenge; the machines, accessories and consumables.","=HYPERLINK(""http://www.engis.com"")","Engis Corp.  105 W Hintz Rd  Wheeling, IL  United States  60090-6038"
5616,Entron Technology Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103101"")","Established in 2015, is a high-tech enterprise focusing on the research anddevelopment, design, production, and sales of functional safety and cybersecurity machine vision sensing and system. We developed comprehensive product lines and services on robotics, automotive, agriculture, industrial, biomedical, and consumer markets.Entron has established lATF16949 production base with class 1,000 cleanroom and a 4,000 square meters plant area. Our leading-edge production manufacturing processes and","=HYPERLINK(""http://www.entroninc.com"")","Entron Technology Inc.  Rm 406 No 570 Shengxia Rd  Pudong District, SH  China  201203"
